"Resource ID(s)","Resource type","Status","Contributed by","Date","Audio Library Catalog ID","Koan Case #","Talk Location","Title","Caption or Other Speaker","Extracted Text","Speaker","Koan Collection","Track","Genre","Duration","Training Quarter"
37675,"Audio","Active","Administrator","2024-07-07 12:59","AR47","45","Zen Mountain Monastery","We The People","","","Geoffrey Shugen Arnold","Gateless Gate","","","0:44:46","2024 Summer"
34704,"Audio","Active","Administrator","2023-08-24 12:59","AQ48","","Zen Mountain Monastery","Having Few Desires","","","Bear Gokan Bonebakker","","","","0:34:20","2023 Summer"
31641,"Audio","Active","DC Audio User","2018-05-13 12:59","46N","","Zen Center of New York City","Loving Zazen","","","Jody Hojin Kimmel","","","Religion and Spirituality","0:50:14","2018 Spring Ango"
33622,"Audio","Active","Archivist","1994-03-10 00:00","This article is a companion to Talk B92.0-B92.1","","Zen Mountain Monastery","Mondo - Zen In The Balance / Zen In America - Tricycle Article","Daido Roshi leads a mondo, discussing the  Spring 1994 Tricycle article ""Zen in the Balance"", which is an excerpt from Helen Tworkov's book, ""Zen in America"". 

Contains the text discussed in the Mondo","Zen in the Balance: Can It Survive America?
We must ask ourselves if the Americanization of Zen now under way is a necessary cultural
adaptation or a justification for the co-optation of Zen by secular materialists.
By Helen Tworkov | Spring 1994
This essay has been adapted for Tricycle from the afterword that has been added to the forthcoming
edition of Zen in America. Written by Tricycleâ€™s editor, Helen Tworkov, the book follows the
movement of Japanese Zen to the United States through portraits of Robert Aitken, Jakusho
Kwong, Bernard Glassman, Maurine Stuart, and Richard Baker. Zen in America was originally
published in 1988 by North Point Press and was reissued in the spring of 1994 by Kodansha America.","John Daido Loori","","","","","1994 Spring"
37897,"Audio","Active","Administrator","2025-08-03 12:59","53R","","Zen Center of New York City","Sutra Walking","","","Jody Hojin Kimmel","","","Religion and Spirituality","0:42:49 (approx)","2025 Summer"
37896,"Audio","Active","Administrator","2025-08-31 12:59","BA70","","Zen Mountain Monastery","Fall 2025 Ango Opening Talk - ""The Way Of Everyday Life: Genjokoan"" - Shugen Roshi","","","Geoffrey Shugen Arnold","","","Religion and Spirituality","0:50:18 (approx)","2025 Summer"
37895,"Audio","Active","Administrator","2025-08-24 12:59","BA60.3","96","Zen Mountain Monastery","Turning Words: A Wood Buddha","","","Geoffrey Shugen Arnold","","96","Religion and Spirituality","0:48:36 (approx)","2025 Summer"
37894,"Audio","Active","Administrator","2025-08-23 12:59","BA60.2","96","Zen Mountain Monastery","Turning Words: A Gold Buddha","","","Geoffrey Shugen Arnold","","96","Religion and Spirituality","0:50:48 (approx)","2025 Summer"
37893,"Audio","Active","Administrator","2025-08-22 12:59","BA62","","Zen Mountain Monastery","Deepening Of Faith, Doubt & Determination","","","Danica Shoan Ankele","","","Religion and Spirituality","0:48:32 (approx)","2025 Summer"
37892,"Audio","Active","Administrator","2025-08-21 12:59","BA61","","Zen Mountain Monastery","A Coin Before It’s Stamped","Prabu Gikon Vasan","","","","","Religion and Spirituality","0:29:32 (approx)","2025 Summer"
37891,"Audio","Active","Administrator","2025-08-20 12:59","BA60.1","96","Zen Mountain Monastery","Turning Words: A Mud Buddha","","","Geoffrey Shugen Arnold","","96","Religion and Spirituality","0:44:19 (approx)","2025 Summer"
37890,"Audio","Active","Administrator","2025-08-17 12:59","BA59","","Zen Mountain Monastery","Rejoicing In Virtue","","","Geoffrey Shugen Arnold","","","Religion and Spirituality","0:49:36 (approx)","2025 Summer"
37889,"Audio","Active","Administrator","2025-08-10 12:59","BA58","","Zen Mountain Monastery","This World, Your Buddha Field","","","Geoffrey Shugen Arnold","","","Religion and Spirituality","0:47:51 (approx)","2025 Summer"
37888,"Audio","Active","Administrator","2025-08-03 12:59","BA57","14","Zen Mountain Monastery","Compassion Starts In The Mind","","","Geoffrey Shugen Arnold","Book of Serenity","14","Religion and Spirituality","0:46:06 (approx)","2025 Summer"
37887,"Audio","Active","Administrator","2025-07-27 12:59","52R","","Zen Center of New York City","Letting Go Of Being Right","Suzanne Taikyo Gilman","","","","","Religion and Spirituality","0:24:59 (approx)","2025 Summer"
37886,"Audio","Active","Administrator","2025-07-20 12:59","51R","","Zen Center of New York City","Singing The Body Electric: The Body In The Body","","","Jody Hojin Kimmel","","","Religion and Spirituality","0:45:07 (approx)","2025 Summer"
37885,"Audio","Active","Administrator","2025-07-13 12:59","49R","","Zen Center of New York City","Letting Go And Allowing In","Sarah Taisho Sands","","","","","Religion and Spirituality","0:39:16 (approx)","2025 Summer"
37884,"Audio","Active","Administrator","2025-07-12 12:59","48R","","Zen Center of New York City","What’s Opening?","","","Jody Hojin Kimmel","","","Religion and Spirituality","0:37:28 (approx)","2025 Summer"
37883,"Audio","Active","Administrator","2025-07-27 12:59","BA56","","Zen Mountain Monastery","Reclaiming Royal Ease","","","Jody Hojin Kimmel","","","Religion and Spirituality","0:37:48 (approx)","2025 Summer"
37882,"Audio","Active","Administrator","2025-07-26 12:59","BA55","","Zen Mountain Monastery","Invoking A Vast Love","","","Danica Shoan Ankele","","","Religion and Spirituality","0:39:29 (approx)","2025 Summer"
37881,"Audio","Active","Administrator","2025-07-25 12:59","BA54","","Zen Mountain Monastery","Being Still","","","Jody Hojin Kimmel","","","Religion and Spirituality","0:40:41 (approx)","2025 Summer"
37880,"Audio","Active","Administrator","2025-07-24 12:59","BA53","","Zen Mountain Monastery","Practicing The Path: Right Intention","","","Bear Gokan Bonebakker","","","Religion and Spirituality","0:40:02 (approx)","2025 Summer"
37879,"Audio","Active","Administrator","2025-07-20 12:59","BA52","","Zen Mountain Monastery","Pure Perception","Michelle Seigei Spark","","","","","Religion and Spirituality","0:37:59 (approx)","2025 Summer"
37878,"Audio","Active","Administrator","2025-07-13 12:59","BA51","","Zen Mountain Monastery","Practicing The Path: Right Understanding","","","Bear Gokan Bonebakker","","","Religion and Spirituality","0:43:06 (approx)","2025 Summer"
37877,"Audio","Active","Administrator","2025-07-06 12:59","BA50","","Zen Mountain Monastery","Compassionate Interdependence","","","Danica Shoan Ankele","","","Religion and Spirituality","0:45:44 (approx)","2025 Summer"
37876,"Audio","Active","Administrator","2025-06-22 12:59","47R","","Zen Center of New York City","Cultivating Faith","Jeffrey Kien Martin","","","","","Religion and Spirituality","0:37:59 (approx)","2025 Summer"
37875,"Audio","Active","Administrator","2025-06-15 12:59","46R","","Zen Center of New York City","Dignified Still Point","","","Jody Hojin Kimmel","","","Religion and Spirituality","0:39:40 (approx)","2025 Summer"
37874,"Audio","Active","Administrator","2025-06-14 12:59","45R","","Zen Center of New York City","Steadying, Staying, Befriending","","","Jody Hojin Kimmel","","","Religion and Spirituality","0:31:42 (approx)","2025 Summer"
37873,"Audio","Active","Administrator","2025-06-08 12:59","44R","","Zen Center of New York City","Luckily No One Is Looking?","","","Jody Hojin Kimmel","","","Religion and Spirituality","0:42:54 (approx)","2025 Summer"
37872,"Audio","Active","Administrator","2025-06-29 12:59","BA49","18","Zen Mountain Monastery","Offerings To The Land Deity","","","Geoffrey Shugen Arnold","True Dharma Eye","18","Religion and Spirituality","0:40:26 (approx)","2025 Summer"
37871,"Audio","Active","Administrator","2025-06-28 12:59","BA48","","Zen Mountain Monastery","Abiding Well In The Mountain","","","Geoffrey Shugen Arnold","","","Religion and Spirituality","0:42:38 (approx)","2025 Summer"
37870,"Audio","Active","Administrator","2025-06-27 12:59","BA47","","Zen Mountain Monastery","Practicing Doubt","Suzanne Taikyo Gilman","","","","","Religion and Spirituality","0:31:34 (approx)","2025 Summer"
37869,"Audio","Active","Administrator","2025-06-26 12:59","BA46","","Zen Mountain Monastery","Right Speech","Joel Sansho Benton","","","","","Religion and Spirituality","0:33:48 (approx)","2025 Summer"
37868,"Audio","Active","Administrator","2025-06-25 12:59","BA45","","Zen Mountain Monastery","The Perfection Of What Is","","","Geoffrey Shugen Arnold","","","Religion and Spirituality","0:49:40 (approx)","2025 Summer"
37867,"Audio","Active","Administrator","2025-06-22 12:59","BA44","16","Zen Mountain Monastery","Returning To The Great Earth","","","Geoffrey Shugen Arnold","True Dharma Eye","16","Religion and Spirituality","0:44:46 (approx)","2025 Summer"
37866,"Audio","Active","Administrator","2025-06-15 12:59","BA43","","Zen Mountain Monastery","Dharma Language & Dharma Study","","","Geoffrey Shugen Arnold","","","Religion and Spirituality","0:46:42 (approx)","2025 Summer"
