start	end	text
0	14500	Thank you for being here this weekend and being part of this Donna Weekend, the heart of which will take place tomorrow.
16320	25000	And our teachers for the weekend will be arriving tomorrow in buses from all over the county.
25000	38900	And I'd like to take this opportunity tonight to clarify a little bit about what Donna really is.
41880	50280	We translate it as giving, but giving doesn't reach it at all.
50280	66160	And we have that problem with the English language and translating some of these Buddhist terms into English because the English versions of them, the closest English word to them, has totally different meanings.
67320	70600	And as a result, they become misinterpreted.
70600	76340	And that's why many of them we retain in the original form, such as Donna.
79260	81560	Donna is one of the paramitas.
82840	85280	There are six paramitas.
86680	89820	And these paramitas have been in existence a long time.
89920	93060	They're part of Mahayana Buddhism, which Zen is a part of.
93060	97780	And Donna is the first of those.
98240	104720	And each one of the paramitas, when you try to translate them, you somehow miss what they're about.
104820	107900	For example, we translate Prajna paramita.
109060	113460	Paramita literally means other shore or to cross over.
113460	129680	And our way of understanding crossing over to the other shore in Zen is that the other shore arrives, or indeed, that the other shore is right here, right now.
132480	134440	Prajna, we translate as wisdom.
134440	140780	And wisdom, if you look it up in a dictionary, talks about accumulating knowledge.
141660	143780	It's not what Prajna means.
144580	148460	It has nothing to do with knowledge, nor does it have anything to do with knowing.
151820	155540	So that the calling it wisdom misses it.
155800	159660	The same with the word Karuna, we translate as compassion.
159660	167360	Compassion has a sense of empathy about it, which implies self and other.
167480	169760	In compassion, there is no dualism.
169900	171420	There is no self or other.
172580	177140	And we translate dana as giving.
178360	180880	And that, too, misses the point.
181060	183060	Because giving is not dana.
183940	185880	Not quite dana.
189660	200220	There can be no dana, unless there is both giving and receiving occurring simultaneously.
201420	205940	So that the giver and the receiver are unified.
206680	208080	They become one thing.
208300	209460	It's the same with compassion.
209600	212560	There's no doer or the thing that you're doing to.
213400	216580	There's no effort or even sense of it occurring.
216580	219860	Compassion happens the way your hair grows.
220420	221340	It's spontaneous.
221560	222660	There's no knowledge of it.
223720	225320	So dana is not charity.
226260	227700	And it's not generosity.
228700	234640	And it's not almsgiving or donation or beneficence or benevolence or benefaction.
235460	239520	It's not contribution or gift or philanthropy or offering.
239520	247280	But rather, it's the practice of total, unequivocal relinquishment.
250080	251480	What is relinquishment?
251660	252440	What does that mean?
253320	263880	The great master, Hui Hai, who was a successor of Basso, talked about it in a dialogue with one of his monks.
263880	270180	The monk asked, by what means can the gateway of our school be entered?
271640	274060	The master said, by means of dana paramita.
275700	279420	According to the Buddha and the Bodhisattva path, the monk said,
280460	283920	the Bodhisattva path consists of six paramitas.
284060	285680	Why then have you mentioned only one?
285680	292760	Please explain why this one alone provides a sufficient means for us to enter.
294440	300980	The master said, deluded people fail to understand that the other five all proceed from dana paramita
300980	306540	and that it's by practice, by its practice, that all others are fulfilled.
307260	309920	Why it's the first one of the paramitas.
309920	313940	Why is it called dana paramita?
315820	318260	The answer, dana means relinquishment.
319040	321440	Question, relinquishment of what?
322220	325640	Answer, relinquishment of dualism of opposites.
326240	327120	What does that mean?
327500	328280	The monk asked.
329160	334500	It means total relinquishment of ideas as to the dual nature of good and bad,
335060	338660	being and non-being, love and aversion, void and non-void,
338660	342020	concentration and distraction, pure and impure.
342580	349040	By giving all of them up, we attain to a state in which all opposites are seen as empty.
349780	356120	The real practice of dana paramita entails achieving this state without any thought of,
356680	362780	now I see that opposites are void, or now I have relinquished all of them.
362780	369240	We may also call it the simultaneous cutting off of the myriad types of current cause.
370140	375180	For it is when these are cut off that the whole dharma nature becomes void, empty.
375740	382060	And this emptiness of the dharma nature means the non-dwelling of the mind upon anything whatsoever.
382700	387080	Once that state is achieved, not a single form can be discerned.
387080	387440	Why?
387440	395520	Because our self-nature is non-existent and does not contain a single thing foreign to itself.
396400	403840	That which contains no single thing is true reality, the marvelous form of the Tathagatha.
404880	406520	It's said in the Diamond Sutra,
406680	411120	those who relinquish all forms are called Buddhas, or enlightened ones.
411120	419420	So basically what he's saying is that dana is about forgetting the self.
